AREA_LABEL,AREA_LATITUDE,AREA_LONGITUDE
IA-DAV,41.5154,-90.4868
IL-CHI,41.7812,-88.0752
IN-ELK,41.6669,-86.2516
IN-FTW,41.1172,-85.1667
IN-IND,39.8117,-86.2675
KY-LOU,37.977,-85.7627
MI-DET,42.8853,-83.7396
MO-STL,38.3873,-89.991
MS-TUP,33.9102,-88.7484
NC-RAL,35.7186,-78.5074
OH-CIN,39.138,-84.4807
OH-CLE,41.0651,-81.5806
OH-COL,39.8548,-82.5323
SC-NCH,32.9431,-80.0867
WI-WAU,45.3955,-89.7822
